,Fecha,PRECIO,DEMANDA,hidraulica,turbinacion bombeo,NUCLEAR,carbon,diesel,turbina de gas,turbina de vapor,ciclo combinado,eolica,solar fotovoltaica,solar termica,otras renovables,cogeneracion
3139,8/6/2019,49.96791667,793044.82,44228.793,2812.482,164789.793,25370.591,9552.313,2801.456,2363.48,283224.874,67646.907,32638.66,24139.58,10202.131,77005.188
3140,8/7/2019,49.45875,787712.421,43476.75,2527.259,165078.024,28311.376,9415.036,3397.951,3377.784,285221.748,97745.999,22844.853,21425.082,10674.77,78064.478
3141,8/8/2019,47.88666667,795638.987,37082.991,249.485,164919.543,29004.512,10230.574,4015.176,3867.355,246744.648,139925.39,34033.449,25281.495,10549.989,78093.235
3142,8/9/2019,43.95333333,795454.697,38927.905,1139,163280.073,27240.255,10382.198,4274.503,3637.985,203681.685,200148.942,32206.551,22037.662,10731.236,78068.29
3143,8/10/2019,46.19375,716321.021,37421.994,1569.96,164754.663,25348.179,9723.117,2844.955,2378.039,219290.322,76780.271,34926.933,24235.629,10882.199,76665.487
3144,8/11/2019,42.47958333,651892.626,30600.823,939.41,165663.598,18375.375,8429.321,2518.609,2762.722,165326.742,110299.653,32388.814,26945.855,10647.89,72715.063
3145,8/12/2019,43.59458333,712385.398,32028.61,2420.338,166720.309,18799.312,8670.791,3016.287,3708.712,189640.611,141025.673,34277.44,28170.173,9257.567,76247.624
3146,8/13/2019,42.92875,713398.323,36679.781,2046.172,166759.132,19551.259,8174.301,2847.036,4236.714,212560.407,104858.018,32662.468,28366.081,9456.743,77381.85
3147,8/14/2019,45.69583333,722738.208,40777.391,1272.217,166546.322,19273.905,9074.658,2816.685,4330.217,231188.1,68210.407,35816.351,28086.535,9838.621,77755.922
3148,8/15/2019,40.7825,661417.317,35044.104,58.341,165782.489,18526.067,8642.935,2122.804,3651.572,195963.649,82054.724,35062.278,28421.11,10309.58,73893.109
3149,8/16/2019,44.47875,715896.427,38474.135,2752.652,165422.573,19809.686,9535.922,3135.228,4495.078,225882.037,61308.518,35486.979,27205.891,10550.844,74393.95
3150,8/17/2019,41.9075,692638.36,34782.138,2329.658,165247.305,13726.415,9391.904,2643.109,3523.612,200783.739,101402.329,35458.945,26939.538,10439.132,70872.3
3151,8/18/2019,38.87916667,652155.441,33507.399,4884.705,154257.487,13764.156,8836.471,2397.981,3311.489,154357.145,117809.686,34255.74,26195.163,10424.066,68303.501
3152,8/19/2019,41.48041667,750065.106,39245.61,3237.593,164165.142,14505.174,9930.717,3247.465,3491.811,204778.788,130350.569,31322.13,19805.368,10332.398,74885.039
3153,8/20/2019,40.02541667,750474.293,38001.71,2232.427,166687.428,13823.881,9549.679,3003.028,3265.751,197245.469,158228.236,30391.935,23340.899,10413.631,75406.81
3154,8/21/2019,41.11458333,743508.569,38493.81,176.066,166773.23,14247.241,9127.309,2922.435,2652.44,239955.055,134473.998,25954.571,25330.585,9693.799,75780.644
3155,8/22/2019,40.99625,746785.396,41925.826,646.144,166506.134,14328.819,8989.956,2983.587,3618.589,239351.298,113299.366,36008.868,26419.785,10363.392,75740.026
3156,8/23/2019,41.4075,746320.647,42800.86,710.641,166850.097,14613.418,9646.783,3338.727,4052.237,247790.412,88207.708,36088.935,22343.872,10821.223,77370.242
