"","Andalucía","Aragón","Asturias, Principado de","Balears, Illes","Canarias","Cantabria","Castilla y León","Castilla - La Mancha","Cataluña","Comunitat Valenciana","Extremadura","Galicia","Madrid, Comunidad de","Murcia, Región de","Navarra, Comunidad Foral de","País Vasco","Rioja, La"
"X2020M02"," 97.686","108.375"," 94.985"," 98.713","103.018"," 92.711","104.615"," 95.236","102.508"," 99.756"," 88.131"," 99.728","101.390"," 90.141"," 98.467","104.662","108.662"
"X2020M01","102.352","102.204"," 99.724"," 97.899","110.061"," 98.235","104.152"," 99.303"," 99.249"," 94.818"," 95.848","104.323"," 98.015"," 94.913","106.710","100.720","106.021"
"X2019M12"," 99.659"," 91.199"," 93.016"," 99.049","106.610"," 82.465"," 92.052"," 95.906"," 87.816"," 88.137"," 90.031"," 99.299"," 94.868"," 89.124"," 90.732"," 93.573"," 92.720"
"X2019M11","103.739","109.807","100.718","101.589","109.180","100.296","110.715","107.411","102.596"," 99.896"," 83.050","110.973","104.769"," 95.963","114.897","112.993","112.622"
"X2019M10","116.915","109.324","100.889","113.231","112.109","107.541","110.167","114.946","111.063","107.405"," 81.726","107.257","106.733","105.551","129.198","120.327","125.334"
"X2019M09","107.837","101.843","100.195","113.213","105.929"," 98.912","102.854","104.125"," 99.700","102.584","116.750","100.053","100.620","105.060","108.424","110.619","107.442"
"X2019M08"," 99.261"," 79.643"," 91.878","120.796","108.552"," 83.118"," 81.454"," 90.192"," 78.430"," 76.883","119.226"," 85.473"," 82.268"," 91.691"," 84.360"," 73.336"," 79.860"
"X2019M07","118.106","115.202","102.148","133.625","118.414"," 99.467","106.947","111.960","110.521","110.484"," 99.001","108.730","109.764","121.771","101.245","115.235","118.369"
"X2019M06","107.881","109.882","100.263","119.195","102.104","101.558","107.797","101.434","101.058","101.062"," 96.245"," 95.905","103.581","102.454","105.307","108.124","103.555"
"X2019M05","110.729","119.870","104.653","122.329","109.987","106.797","116.868","104.959","112.300","107.737"," 99.010","103.195","110.809","110.821","109.956","117.609","113.703"
"X2019M04","101.464","102.317"," 98.381","112.103","105.095","102.514","101.869"," 99.487","101.501"," 98.655"," 88.664"," 99.608"," 99.049"," 97.134"," 91.045","101.782","106.535"
"X2019M03","107.227","113.314","105.726","111.970","110.608","107.731","112.472","105.140","110.541","102.338"," 94.110","101.459","107.036"," 94.727"," 97.724","110.637","112.906"
"X2019M02","106.159","108.276"," 97.666","109.652","103.627","102.293","107.402","100.256","101.707"," 97.698"," 86.932"," 97.545"," 99.522"," 88.960"," 92.996","104.661","112.377"
